Date,Temperatur (C),Humidity (%),Hour
12/12/2017 12:00:00 AM IST,16.1,72.092,0
12/12/2017 12:05:00 AM IST,16,72.092,0
12/12/2017 12:10:00 AM IST,15.9,72.092,0
12/12/2017 12:15:00 AM IST,15.85,72.04201,0
12/12/2017 12:20:00 AM IST,15.85,72.342,0
12/12/2017 12:25:00 AM IST,15.85,72.192,0
12/12/2017 12:30:00 AM IST,15.799999,72.392,0
12/12/2017 12:35:00 AM IST,15.799999,72.54201,0
12/12/2017 12:40:00 AM IST,15.799999,72.642,0
12/12/2017 12:45:00 AM IST,15.799999,72.642,0
12/12/2017 12:50:00 AM IST,15.75,72.892,0
12/12/2017 12:55:00 AM IST,15.75,73.192,0
12/12/2017 01:00:00 AM IST,15.75,73.29201,1
12/12/2017 01:05:00 AM IST,15.7,73.29201,1
12/12/2017 01:10:00 AM IST,15.7,73.54201,1
12/12/2017 01:15:00 AM IST,15.75,73.79201,1
12/12/2017 01:20:00 AM IST,15.8,74.29201,1
12/12/2017 01:25:00 AM IST,15.75,74.642,1
12/12/2017 01:30:00 AM IST,15.65,74.742004,1
12/12/2017 01:35:00 AM IST,15.6,75.092,1
12/12/2017 01:40:00 AM IST,15.65,75.142,1
12/12/2017 01:45:00 AM IST,15.55,75.192,1
12/12/2017 01:50:00 AM IST,15.55,75.342,1
12/12/2017 01:55:00 AM IST,15.5,75.492004,1
12/12/2017 02:00:00 AM IST,15.5,75.492004,2
12/12/2017 02:05:00 AM IST,15.5,75.642,2
12/12/2017 02:10:00 AM IST,15.450001,75.54201,2
12/12/2017 02:15:00 AM IST,15.450001,75.842,2
12/12/2017 02:20:00 AM IST,15.450001,75.992004,2
12/12/2017 02:25:00 AM IST,15.5,75.942,2
12/12/2017 02:30:00 AM IST,15.5,75.842,2
12/12/2017 02:35:00 AM IST,15.4,75.942,2
12/12/2017 02:40:00 AM IST,15.4,76.092,2
12/12/2017 02:45:00 AM IST,15.4,76.342,2
12/12/2017 02:50:00 AM IST,15.45,76.342,2
12/12/2017 02:55:00 AM IST,15.450001,76.04201,2
12/12/2017 03:00:00 AM IST,15.450001,75.842,3
12/12/2017 03:05:00 AM IST,15.450001,75.742004,3
12/12/2017 03:10:00 AM IST,15.4,75.742004,3
12/12/2017 03:15:00 AM IST,15.5,75.992004,3
12/12/2017 03:20:00 AM IST,15.5,76.142,3
12/12/2017 03:25:00 AM IST,15.5,75.892,3
12/12/2017 03:30:00 AM IST,15.45,75.992004,3
12/12/2017 03:35:00 AM IST,15.5,76.092,3
12/12/2017 03:40:00 AM IST,15.5,75.992004,3
12/12/2017 03:45:00 AM IST,15.450001,76.142,3
12/12/2017 03:50:00 AM IST,15.450001,76.342,3
12/12/2017 03:55:00 AM IST,15.450001,76.342,4
12/12/2017 04:00:00 AM IST,15.450001,76.392,4
12/12/2017 04:05:00 AM IST,15.450001,76.342,4
12/12/2017 04:10:00 AM IST,15.450001,76.442,4
12/12/2017 04:15:00 AM IST,15.4,76.54201,4
12/12/2017 04:20:00 AM IST,15.450001,76.342,4
12/12/2017 04:25:00 AM IST,15.35,76.142,4
12/12/2017 04:30:00 AM IST,15.3,76.442,4
12/12/2017 04:35:00 AM IST,15.25,76.592,4
12/12/2017 04:40:00 AM IST,15.25,76.642,4
12/12/2017 04:45:00 AM IST,15.25,76.642,4
12/12/2017 04:50:00 AM IST,15.25,76.642,4
12/12/2017 04:55:00 AM IST,15.3,76.592,4
12/12/2017 05:00:00 AM IST,15.3,76.442,5
12/12/2017 05:05:00 AM IST,15.3,76.442,5
12/12/2017 05:10:00 AM IST,15.25,76.592,5
12/12/2017 05:15:00 AM IST,15.200001,76.642,5
12/12/2017 05:20:00 AM IST,15.200001,76.79201,5
12/12/2017 05:25:00 AM IST,15.25,76.642,5
12/12/2017 05:30:00 AM IST,15.25,76.79201,5
12/12/2017 05:35:00 AM IST,15.3,76.79201,5
12/12/2017 05:40:00 AM IST,15.25,76.642,5
12/12/2017 05:45:00 AM IST,15.25,76.79201,5
12/12/2017 05:50:00 AM IST,15.25,76.992004,5
12/12/2017 05:55:00 AM IST,15.25,76.942,5
12/12/2017 06:00:00 AM IST,15.25,76.992004,6
12/12/2017 06:05:00 AM IST,15.25,76.992004,6
12/12/2017 06:10:00 AM IST,15.3,76.942,6
12/12/2017 06:15:00 AM IST,15.25,76.992004,6
12/12/2017 06:20:00 AM IST,15.25,76.992004,6
12/12/2017 06:25:00 AM IST,15.25,76.992004,6
12/12/2017 06:30:00 AM IST,15.2,76.992004,6
12/12/2017 06:35:00 AM IST,15.15,76.892,6
12/12/2017 06:40:00 AM IST,15.1,76.992004,6
12/12/2017 06:45:00 AM IST,15.05,77.092,6
12/12/2017 06:50:00 AM IST,15.05,77.142,6
12/12/2017 06:55:00 AM IST,15.05,76.992004,6
12/12/2017 07:00:00 AM IST,15.05,76.992004,7
12/12/2017 07:05:00 AM IST,15,76.942,7
12/12/2017 07:10:00 AM IST,15,76.892,7
12/12/2017 07:15:00 AM IST,14.9,76.842,7
12/12/2017 07:20:00 AM IST,14.9,77.092,7
12/12/2017 07:25:00 AM IST,14.9,76.892,7
12/12/2017 07:30:00 AM IST,14.9,76.892,7
12/12/2017 07:35:00 AM IST,14.85,76.942,7
12/12/2017 07:40:00 AM IST,14.85,76.842,7
12/12/2017 07:45:00 AM IST,14.9,76.942,7
12/12/2017 07:50:00 AM IST,14.9,76.942,7
12/12/2017 07:55:00 AM IST,14.9,77.192,7
12/12/2017 08:00:00 AM IST,14.9,77.442,8
12/12/2017 08:05:00 AM IST,15.05,77.642,8
12/12/2017 08:10:00 AM IST,15.1,77.692,8
12/12/2017 08:15:00 AM IST,15.25,77.642,8
12/12/2017 08:20:00 AM IST,15.4,77.742004,8
12/12/2017 08:25:00 AM IST,15.450001,77.492004,8
12/12/2017 08:30:00 AM IST,15.5,77.242004,8
12/12/2017 08:35:00 AM IST,15.6,77.192,8
